component,bagofwords
com.amaze.filemanager.utils.files.FileListSorterTest,Purpose when dirs file directory result Input File List Sorter compare Expected return Test public void test Layout Element Parcelable Amaze Manager user symlink true false Open Mode UNKNOWN assert Equals sort title length bigger than positive integer Title Bigger That greater Than smaller negative less same zero Same date more recent Date Lastest size Size extension Extension Another Number 
com.amaze.filemanager.utils.files.CryptUtil,Constructor will start encryption process serially Make sure call with background thread result file same directory link CRYPT EXTENSION extension done encrypting password this database constructors decrypt files only service through Service Watcher Util initialize watchers beforehand param source File public Crypt Context context Hybrid Parcelable Progress Handler progress Array List failed String target Filename throws General Security Exception Mode Parent Decrypt specified path used open cache simply custom preference check user provided passwords from encrypted Path which decrypted parent normal case Directory Open FILE equals External Cache Method handles plain various static Password Text Build VERSION CODES return Encrypt else JELLY BEAN decryption cipher initializes Cipher android hardware fingerprint Fingerprint Manager null Instance ALGO Parameter Spec Bytes ENCRYPT MODE Secret Keygen keygen 
com.amaze.filemanager.utils.files.GenericCopyUtil,public Generic Copy Util Context context Progress Handler progress this Method exposes class initiate copy param source File file which copied target void Hybrid Parcelable throws Exception Source Target start false 
com.amaze.filemanager.utils.files.FileUtils,public static long folder Size File directory Progress Update Long update State length file list Files else null catch Exception print Stack Trace return Hybrid Simple Path Config Instance recursive code size slow stupid inaccurate because permission problems Only fallback when available Context Folder bytes Sftp SFTP Client client String remote retval Remote Resource Info info Directory Attributes Problem accessing finally Cloud Open Mode open Meta Data Utils data Storage cloud Account meta Children strip Helper method path context calculate files Total Bytes Array List Parcelable total Base Calls link scan using param void Null from Triggers media scanner multiple paths filesystem directly might present anymore move rename which lead java Found hybrid exists Local Media Scanner Connection store changed supported Document document false crossfade View buttons pathbar Alpha Visibility VISIBLE animate alpha Duration Listener Animator Adapter Override Animation animation GONE reveal Show view boolean Object animator Float ALPHA Start start Inverse share Async Task Void protected Background params create Share Link Post Execute super copy Clipboard Toast make Text string copied LENGTH LONG show execute Activity Theme skin uris true mime Mime Types equals float readable Install permissions needed Manifest REQUEST INSTALL PACKAGES install Permissions Amaze forcechooser even default user openunknown Intent Action ACTION VIEW type trim Content activity apply Flag Chooser openwith noappfound SHORT With Flags FLAG GRANT READ PERMISSION normalize Empty EMULATED STORAGE SOURCE TARGET EXTERNAL starts replace normalized Absolute VOLUME INTERNAL Method supports showing without extension determines there something current switch case DROPBOX GDRIVE ONEDRIVE Spaces free Usable android content Manager clipboard System Service CLIPBOARD SERVICE Plain Primary Names ends root split Paths substring while last Index Collections reverse Read Main Shared Preferences shared Prefs Boolean Constants PREFERENCE TEXTEDITOR NEWSTACK Handler Self Default studio Count Lower Case General Dialog Creation Package Compressed Extractable Archive intent Database Viewer class Icons AUDIO audio Down Timer Tick millis Until Finished cancel opening Support Concurrent Radix Tree Value Char Sequence Keys Starting UNKNOWN generate Linked parsing line returned stdout shell must command parse linked Builder array contains Colon Position append Parse Date Format simpledateformat yyyy Modified Line char write Storages Accessible pref Hidden SHOW HIDDENFILES Parent Root ROOTMODE PREFIX storage Converts Checks whether bookmark empty created check Explorer lost Operations mkdir Error launch done invalid 
com.amaze.filemanager.utils.files.EncryptDecryptUtils,Queries database path password Starts encryption process after query param file plaintext throws General Security Exception Errors encrypting folder errors public static void start Encryption Context final String Intent intent Crypt Handler dest Path substring last Index concat Extra Service ENCRYPT TARGET Encrypted Entry encrypted Watcher Util decrypt File Main Activity main Fragment Open Mode open Hybrid Parcelable source Utilities Provider utils boolean broadcast Result Decrypt class OPEN MODE ordinal SOURCE DECRYPT PATH Shared Preferences preferences Manager Default find catch print Stack Trace Toast make Text decryption fail LENGTH LONG show return Button Callback Interface Override confirm failed null switch Password case Constants PASSWORD FINGERPRINT Build VERSION CODES Dialog Creation Fingerprint Theme else Illegal State break MASTER PREFERENCE DEFAULT default 
com.amaze.filemanager.utils.files.FileListSorter,public File List Sorter sort this dirs Compares elements return negative zero positive integer first argument less than equal greater second Override compare Layout Element Parcelable file Directory else title Ignore Case Long value date long Size final String Extension 
com.amaze.filemanager.filesystem.HybridFileParcelableTest,Before public void file Path Hybrid File Parcelable storage sdcard Test directory true false Purpose name Input Expected return Name assert Equals Change changed Tset open mode Open Mode FILE files directories this class have link empty string Link creation date Date size Size Check whether Directory type path permissions Permission null Write object into parcel send through intent read from write sent extracted obtain describe Contents Data Position created From CREATOR 
com.amaze.filemanager.filesystem.RootHelperTest,Before public void throws Exception sysroot mkdir String File subdir Files create Symbolic Link Paths Environment External Storage Directory Absolute Output Stream write close symlink Test test Root Interrupted Verify false Security Illegal Argument Main Activity shell Interactive Shell Builder open true 
com.amaze.filemanager.filesystem.Operations,public static void mkdir Null final Hybrid File file Context context boolean root Mode Error Call Back error Async Task Void private Data Utils data Instance Override protected Background params Main Activity Helper Directory Recursive Operations Name Valid invalid return null exists Sftp mkdirs catch Exception print Stack Trace done false else Document directory Create Path parent Parent create true Drop Cloud Storage cloud Dropbox Account Open DROPBOX Folder strip Drive ONEDRIVE Google Gdrive GDRIVE Local Root mode check launch ROOT Shell Running execute Executor THREAD POOL EXECUTOR mkfile Output Stream close byte temp Bytes Array Input upload substring last Index rename Malformed Client Template SFTP client extract Remote From move switch case FILE break Post Execute super hybrid Files scan Well wouldn want copy when target inside source otherwise into loop possible Copy Loop Possible Parcelable contains Validates special reserved characters shall allowed names filesystems filename full path String ASTERISK BACKWARD SLASH COLON FOREWARD GREATER THAN LESS QUESTION MARK QUOTE 
com.amaze.filemanager.filesystem.CustomFileObserver,public Custom File Observer String path Handler handler super MASK this boolean Stopped return Path Override void start Watching Build VERSION CODES Polling System else stop true Event event IGNORED long delta Time Calendar Instance Millis last Messaged switch case CREATE MOVED paths Added break DELETE FROM Removed SELF obtain GOBACK send Target DEFER CONSTANT Timer schedule Task messaging Scheduled Messages 
