component,bagofwords
com.amaze.filemanager.asynchronous.services.ExtractService,Override public void Create register Receiver receiver Intent Filter BROADCAST EXTRACT CANCEL context Application Context Start Command intent flags final start Progress Listener return progress this Destroy unregister Handler Cancelled true Binder 
com.amaze.filemanager.asynchronous.services.DecryptService,Override public void Create super context Application Context register Receiver cancel Intent Filter BROADCAST CRYPT CANCEL Start Command intent flags start base File Parcelable Extra SOURCE shared Preferences Manager Default Shared accent Color Config Utils Provider Current User this Open Mode open values OPEN MODE UNKNOWN ordinal notification Notification System Service NOTIFICATION SERVICE Main Activity class Action ACTION MAIN Flags FLAG ACTIVITY TASK INTENT PROCESS VIEWER true Pending pending custom Small Content Views Remote Package Name layout service small stop Broadcast UPDATE CURRENT Compat action drawable folder lock white String string Builder Constants CHANNEL NORMAL Custom Heads Style Decorated Ongoing decrypt Path DECRYPT PATH Icon Metadata TYPE Foreground build init progress Halted Decrypt Background Task execute return START STICKY Progress Listener boolean Binder Destroy unregister Handler Cancelled 
com.amaze.filemanager.asynchronous.services.EncryptService,Override public void Create super context Application Context register Receiver cancel Intent Filter BROADCAST CRYPT CANCEL Start Command intent flags start base File Parcelable Extra SOURCE target Filename String ENCRYPT TARGET shared Preferences Manager Default Shared accent Color Config Utils Provider Current User this Open Mode open values OPEN MODE UNKNOWN ordinal notification Notification System Service NOTIFICATION SERVICE Main Activity class Action ACTION MAIN Flags FLAG ACTIVITY TASK INTENT PROCESS VIEWER true Pending pending custom Small Content Views Remote Package Name layout service small stop Broadcast UPDATE CURRENT Compat action drawable folder lock white string Builder Constants CHANNEL NORMAL Custom Heads Style Decorated Ongoing Icon Metadata TYPE Foreground build init progress Halted Background Task execute return START STICKY Progress Listener Binder Destroy unregister Handler Cancelled 
com.amaze.filemanager.shadows.jcifs.smb.ShadowSmbFile,Implementation public void constructor Ntlm Password Authentication auth File file this Input Stream throws Exception return long length 
com.amaze.filemanager.test.ShadowCryptUtil,Method handles encryption plain text various Implementation public static String Password Context context Text throws General Security Exception return Encrypt decryption cipher Decrypt 
com.amaze.filemanager.test.ShadowShellInteractive,Implementation public boolean Running return true wait Idle void Command String command code Shell Result Listener throws Exception Interrupted Process Builder environment LANG TIME STYLE long process start exit Value Buffered Reader reader Input Stream result Array line while Line null 
com.amaze.filemanager.test.ShadowCryptUtilTest,Test public void test Encrypt Decrypt throws General Security Exception String text encrypted Crypt Util Password Runtime Environment application assert Equals decrypt With Utils Handler utils Create Writable Database fingerprint Client Path Necessary null Host 
com.amaze.filemanager.utils.SmbStreamer.StreamSourceTest,Before public void throws Exception String Builder text File append Bytes file create Stream Source length Purpose Open existing Input Expected read buff Test open Existing byte assert Equals Read content equal buffer size from temp Arrays copy Range with bigger than Exceed Throw exception when reading happen closed thrown expected class Closed certain positions start Position Start writing exceed Index Bounds move incorrect wrong Illegal Argument after successful unavailable catch ignored MIME type return Mime Type name Name remain amount Exact Move beginning reset object 
com.amaze.filemanager.utils.SmbStreamer.StreamSource,public Stream Source File file long super mime Mime Type Extension From Name name this notice strange input stream made some modifications original jcifs library needs streaming required returning renamed However needed specify buffer size constructor looks like Input read Buffer open Flags throws Exception Malformed Unknown Host RDONLY FFFF access type TYPE NAMED PIPE ATTR NORMAL CREAT TRUNC else connect Size length Setting properties didn work created libs folder there modified want stock have somehow equal with http server which void skip catch Override byte bytes start offs move position Illegal Argument Position bounds close print Stack Trace String 
com.amaze.filemanager.utils.SmbStreamer.StreamServer,Override this customize server default delegates File allows directory listing param Percent decoded without parameters example index method POST parms Parsed percent from case data header Header entries return HTTP response class Response details public abstract String Properties files Starts given port Throws Exception socket already Stream Server wwwroot throws Stops void stop Socket close Thread join catch Interrupted 
com.amaze.filemanager.utils.SmbStreamer.Streamer,public static Streamer Instance instance null PORT catch Exception print Stack Trace return boolean Media File file pattern matcher Name matches void long this length Override stop super Response serve String method Properties header parms files source name From Path equals HTTP NOTFOUND MIME PLAINTEXT else start range Property starts With bytes substring minus index Long parse Number Format Cloud Util Request from final Source RANGE SATISFIABLE Header Content Range data move Skipped PARTIALCONTENT Mime Type reset Length Accept Ranges 
com.amaze.filemanager.utils.UtilsTest,Test public void test Sanitize Input assert Equals sanitize apple 
com.amaze.filemanager.utils.ComputerParcelableTest,Purpose check computer Parcelable object equal Input equals Computer Object Expected result true Test public void test Equals assert True when name same confirm that different only addr false Name False address Addr 
com.amaze.filemanager.utils.BookSorterTest,Purpose when title length bigger than result positive Input compare Expected return integer Test public void test Compare Title Path Bigger String Amaze File Manager assert That book Sorter greater Than smaller negative less same path Same this case expected real failure name exist zero Equals Case difference 
com.amaze.filemanager.utils.Billing,public Billing Basic Activity activity this List Array donations layout Inflater Layout System Service Context LAYOUT INFLATER SERVICE billing Client Builder Listener build initiate Purchase Flow Override void Purchases Updated response Code Nullable purchases Recycler View Holder Create Group parent view Type root inflate adapter false return Donation Bind holder position Item Count size Details Params launch Cancel destroy Instance Starts connection Google Play services param execute Success private start Connection final Runnable State Setup Finished Response Class Simple Name finished code Connected true null Disconnected Ready 
com.amaze.filemanager.utils.ComputerParcelable,public Computer Parcelable String this name addr Override create From return Array size format describe Contents void write parcel boolean equals Object instanceof hash Code 
com.amaze.filemanager.utils.RootUtils,Copies file using root public static void copy String source destination throws Shell Running Exception mount Point File System Root Helper Command null Creates empty directory param path name mkdir touch Recursively removes with contents return boolean whether deleted Array List result size Moves Renames Path before rename after successful output This converts from booleans OCTAL permissions notations link Utils CHMOD COMMAND true false Octal READ WRITE EXECUTE 
com.amaze.filemanager.utils.FingerprintHandler,public Fingerprint Handler Context Intent intent Material Dialog material Encrypt Decrypt Utils Button Callback Interface decrypt context this Requires Build VERSION CODES void authenticate Manager manager Crypto Object crypto Cancellation Signal cancellation Activity Compat check Self Permission Manifest permission FINGERPRINT Package PERMISSION GRANTED return null Override Authentication Error Char Sequence String Help help Failed failed Succeeded Result result confirm 
com.amaze.filemanager.utils.ImmutableEntry,public Immutable Entry Nullable value this Override final return Value throw Unsupported Operation Exception 
com.amaze.filemanager.utils.ProgressHandler,Constructor start instance param source Files total number files selected user operation public Progress Handler long Size this when know size publish progress after calculating write length Position position byte being processed synchronized void Written Length speed written Listener Progressed Name String return Source Processed Total Cancelled boolean 
com.amaze.filemanager.utils.PreferenceUtils,public static Status Color String skin return darker parse 
com.amaze.filemanager.utils.GlideConstants,
com.amaze.filemanager.utils.OnAsyncTaskFinished,
com.amaze.filemanager.utils.LruBitmapCache,param Size caches that override link size this maximum number entries other sizes public Bitmap Cache super Default Override String return void bitmap 
com.amaze.filemanager.utils.BookSorter,Override public compare String result Ignore Case return 
com.amaze.filemanager.utils.GenericFileProvider,
com.amaze.filemanager.utils.AnimUtils,public static Interpolator Fast Slow Context context fast null Animation Utils load android interpolator slow return Animates filenames textview marquee after delay Make sure link Text View Selected boolean false order stop later void After Delay Millis Themed 
com.amaze.filemanager.utils.ObtainableServiceBinder,public Obtainable Service Binder service this return 
com.amaze.filemanager.utils.Utils,public static float clamp value minimum Math return View view location Parent Location Window void Tint Context context Check color Build VERSION Color State List android attr state checked grey CODES LOLLIPOP Button else Drawable drawable Compat wrap material String Date long DATE WITH MINUTES format year date substring length equals Gets param resource Resources Display Metrics display round xdpi DENSITY DEFAULT Compares Strings returns portion where they differ More precisely remainder second starting from different first example difference machine robot Utils null abxyz abcde differs empty Stolen Apache https commons apache proper lang javadocs html index Difference INDEX FOUND Force disables screen rotation Useful when temporarily activity because external intent have really deal much with filesystem Screen Rotation Main Activity Orientation Configuration orientation ORIENTATION LANDSCAPE Requested Info SCREEN PORTRAIT boolean Device Land Scape Sanitizes input application avoid attempt command injection sanitize Input sanitized Temp while true Once break Returns associated specific basefile Base File Hybrid Parcelable switch Mode case FILE ROOT Generic Provider PROVIDER NAME Path Document DROPBOX GDRIVE ONEDRIVE Toast make Text launch error LENGTH LONG show default position last char Last Char Index element Number throw Illegal Argument Exception occurencies Formats plain Timer timer final Unit SECONDS Minutes Seconds Millis 
com.amaze.filemanager.utils.DataUtils,public static Data Utils Instance return Holder INSTANCE contains Server String servers path synchronized null equals Books books Checks whether cloud account certain type present param service Type link Open Mode check index found Accounts Cloud Storage storage accounts switch case instanceof break DROPBOX Dropbox GDRIVE Google Drive ONEDRIVE default void clear hiddenfiles Concurrent Radix Tree Default Char Array Node Factory Grid List Inverted history storages tree menu Metadata register Changed Listener remove size final boolean refreshdrawer Added true Hidden File Void Value SINGLETON Removed History Linked push sort Collections Sorter Servers this Files Exact Gridfiles gridfiles Path GRID Listfiles listfiles LIST value Integer Longest Prefixing Storages Menu Drawer Item item metadata find longest containing Nullable Containing Sequence 
com.amaze.filemanager.utils.SmbUtil,Parse path decrypt password public static String Decrypted Path Context context throws General Security Exception contains return Builder buffer append substring index encrypted Password last Index Text Utils Empty decrypted Crypt length Encrypted 
com.amaze.filemanager.utils.MainActivityHelper,public Main Activity Helper main this accent Color Accent void show Failed Operation Dialog Array List Hybrid File Parcelable failed Context contextc Material Builder title String string operationunsuccesful theme Theme positive Text cancel content following Name build Override Receive Intent intent null Action equals ACTION MEDIA MOUNTED Toast make Media Mounted LENGTH SHORT Data Path trim length exists Execute data Utils Storages Drawer refresh else UNMOUNTED final Fragment Support Manager find frame Current path switch case FOLDER mkdir open Mode break FILE mkfile CLOUD Bottom Sheet fragment Cloud FRAGMENT Integral Names Integer parse images videos audio documents apks quick recent return guide LEXA rename Open mode boolean rootmode check Folder folder VERSION CODES LOLLIPOP Card Directory DOESNT EXIST Writable Normal CREATE FILES WRITABLE SDCARD Dummy method start Compress service param compressed base Files list link Parent oppathe COMPRESS oparray Service class Extra PATH Watcher allowed delete files size Delete Task execute DELETE extract EXTRACT Decompressor decompressor Compressed Compressor Instance Sftp contains substring last Index index Retrieve with PREFIX prefix Type DROPBOX Handler GDRIVE GOOGLE ONEDRIVE default Creates which will handle search Async Search Worker query entered user Shared Preferences shared Prefs fpath SEARCH TEXT ASYNC HELPER Status RUNNING true begin Transaction remove commit Root Explorer Boolean REGEX false MATCHES Adds that persist state config change current input typed defines enabled regex regular expression matches patter matching static Bundle args INPUT OPEN MODE ordinal ROOT Arguments Check whether creation directory inside same similar filename shall Doesn work Recursive 
com.amaze.filemanager.utils.OneCharacterCharSequence,public Character Sequence final char value length this Override index return throw Index Bounds Exception start String array Arrays fill 
com.amaze.filemanager.utils.SimpleTextWatcher,Override public void before Text Changed Char Sequence start count after Editable 
com.amaze.filemanager.utils.ScreenUtils,public Screen Utils Activity activity this convert float return Math round Resources Display Metrics density Width display Window Manager Default width Pixels Height height 
com.amaze.filemanager.utils.OnProgressUpdate,
com.amaze.filemanager.utils.OnFileFound,
com.amaze.filemanager.utils.TinyDB,array Boolean into Shared Preferences with save param Booleans added public static void Array preferences String edit Text Utils join DIVIDER apply parsed from return default Value equals temp split length value 
com.amaze.filemanager.utils.SubnetScanner,public Subnet Scanner Context context this Lock Object tasks Array List pool Executors Fixed Thread Pool Results void Address Wifi Manager Application System Service WIFI SERVICE Connection Info With Broadcast String format Formatter substring last Index Interrupted submit Task while Empty size Computer Parcelable computer Future Time Unit MILLISECONDS remove name null Found catch Exception return Execution Timeout else join synchronized observer search Finished shutdown private RETRY COUNT File list Files files Name length Host Throwable start Observer scan interrupt super 
com.amaze.filemanager.utils.OTGUtil,Returns array list files specific path param directory tree starts with prefix Independent mount point context loading return deprecated Document Files public static Array List Hybrid Parcelable String Context void Found root Singleton Instance Root null throw Null Pointer Exception from Tree parts split equals Util PREFIX break continue find exists long size Directory length Class Simple Name base Helper parse Permission last Modified Mode Open Traverse specified create Recursive flag used determine whether while traversing case present Notably useful opening output stream boolean next substring Index Checks there least device connected class MASS STORAGE Mass Storage Device Connected final Manager System Service SERVICE false Hash devices Interface Count Constants CLASS true 
com.amaze.filemanager.utils.MapEntry,Constructor provide values pair param object link Immutable Entry which another integer public Integer super 
com.amaze.filemanager.utils.BottomBarButtonPath,
com.amaze.filemanager.utils.EditTextColorStateUtil,public static void Tint Context context Edit Text edit color Build VERSION return Color State List create instanceof Compat Support Background else CODES LOLLIPOP 
com.amaze.filemanager.utils.InterestingConfigChange,Check config change between various callbacks this method Make sure recycle after done public static boolean Config Changed Resources resources changed Fields Mask last Configuration update From density Density Display Metrics mode Activity Info CONFIG SCREEN LAYOUT MODE LOCALE return Recycle usage avoid getting inconsistent result because modifiers 
com.amaze.filemanager.utils.ServiceWatcherUtil,param progress Handler publish after certain delay public Service Watcher Util Progress this position halt Counter handler Thread service watcher start Looper Watches over without interrupting worker thread respective services Method frees resources handlers operation completes void Interaction Interface interaction runnable Runnable Override File Name null post Delayed Written Size state STATE HALTED String written Formatter format Short Application Context total Total Decrypt equals Length pending Intents remove Callbacks quit return Halted else RESUMED Resumed UNSET Cancelled Manually call before Fixes race condition which arise when finished execution stopping self scheduled posted Thus avoids posting callback stopped Alive Convenience method check whether another working background found checking link then wait interval secs again advised sure especially been closed there higher chances android system running memory static synchronized final context intent switch size case Waiting break notification Manager notify Notification Constants WAIT builder Helper Starts already started Halting depends private waiting startup System NOTIFICATION SERVICE Compat Builder CHANNEL NORMAL Content Title string title Text content Auto false Small Icon drawable inclusive white true Metadata TYPE cancel element Class Simple Processes 
com.amaze.filemanager.utils.DatapointParcelable,first datapoint everything false except params Allows move boolean change text from Copying Moving case copy name source file being copied amount Source Files total number files Size size combined allows changing public Datapoint Parcelable String long this speed Progress byte completed which current position bytes pool operation finished same link Override create From return Array describe Contents void write dest flags Long Byte 
com.amaze.filemanager.utils.theme.AppThemeTest,Test public void Theme Light apptheme LIGHT INDEX assert Equals DARK TIMED BLACK Material Dialog hour Calendar Instance HOUR else Simple index 
com.amaze.filemanager.utils.theme.AppThemeManager,public Theme Manager Shared Preferences preferences this String theme Constants FRAGMENT THEME Integer parse Simple return current Application Change application change saved param manager edit apply 
com.amaze.filemanager.utils.cloud.CloudStreamSourceTest,Before public void throws Exception File test create Path Absolute Files size Paths text read Bytes Cloud Stream Source Input Purpose Open existing file Expected buff Test open byte assert Equals length Throw exception when does Name Length Null pointer thrown expected class null move Read content equal buffer from temp Arrays copy Range with bigger than Exceed reading happen closed Closed certain positions start Position Start writing exceed Index Bounds incorrect wrong Illegal Argument after successful unavailable catch ignored return name remain amount Exact Move beginning reset 
com.amaze.filemanager.utils.cloud.CloudUtil,deprecated Cloud Files public static Array List Hybrid Parcelable list String path Storage cloud Open Mode open throws Plugin Exception void Found file Callback stripped Path Meta Data Children base Name Modified null Size Folder catch print Stack Trace Strips down remove prefix switch case DROPBOX equals Handler CLOUD PREFIX replace else break ONEDRIVE GDRIVE GOOGLE default return launch final service Type Activity activity Asynctask checks item pressed account token that saved invalid which clear authenticate user again param drawer main reference fire callbacks delete connection Token Main Task Void Boolean private Utils data Instance Override protected Background params boolean Valid true starts With Dropbox Account User Login false Drive Post Execute super Toast make Text Resources string lost LENGTH LONG show Connection execute input stream thumbnail given link Icon context Input Stream Thumbnail Context hybrid UNKNOWN generate SFTP Client Template client Remote extract From close finally Content Resolver content Document document Source 
com.amaze.filemanager.utils.cloud.CloudStreamServer,Override this customize server default delegates File allows directory listing param Percent decoded without parameters example index method POST parms Parsed percent from case data header Header entries return HTTP response class Response details public abstract String Properties files Starts given port Throws Exception socket already Cloud Stream Server wwwroot throws Stops void stop Socket close Thread join catch Interrupted 
com.amaze.filemanager.utils.cloud.CloudStreamSource,public Cloud Stream Source String file Name long length Input input super this name notice strange stream made some modifications original jcifs library needs streaming required returning renamed However needed specify buffer size constructor looks like File read Buffer open Flags throws Exception Malformed Unknown Host RDONLY FFFF access type TYPE NAMED PIPE ATTR NORMAL CREAT TRUNC else connect Size Setting properties didn work created libs folder there modified want stock have somehow equal with http server which void skip catch Override byte bytes start offs close print Stack Trace move position Illegal Argument Position bounds 
com.amaze.filemanager.utils.cloud.CloudStreamer,public static Cloud Streamer Instance instance null PORT catch Exception print Stack Trace return boolean Media File file pattern matcher Name matches void Input input String long length this Override stop super Server Response serve method Properties header parms files HTTP NOTFOUND MIME PLAINTEXT else start From range Property starts With bytes substring minus index Long parse Number Format Util Request from final Source source RANGE SATISFIABLE Header Content Range data move Skipped PARTIALCONTENT reset Length Accept Ranges 
com.amaze.filemanager.filesystem.ssh.ListFilesOnSshdTest,Test public void test Normal List Dirs throws Interrupted Exception String sysroot File Environment External Storage Directory mkdir perform Verify Symlinks subdir Files create Symbolic Link Paths Absolute 
com.amaze.filemanager.filesystem.ssh.SshConnectionPoolTest,Before Class public static void bootstrap throws Exception host Provider Test user After tear Down server null Open close true test Connection With Username Password create Server testuser testpassword assert Null Pool Instance Security Utils Fingerprint Pair Public invaliduser invalidpassword String save Settings Auth Private Having Complex Credential example Minus Sign abcd efgh agdiuhdpost 
com.amaze.filemanager.filesystem.ssh.CreateFileOnSshdTest,Test public void test Create File Normal throws Exception tear Down create Server Virtual System Factory Paths Environment External Storage Directory Absolute Permission Denied Override Session session return Block Creation Provider Collections empty 
com.amaze.filemanager.filesystem.ssh.AbstractSftpServerTest,Before Class public static void bootstrap throws Exception host Provider Test create Server Virtual File System Factory Paths Environment External Storage Directory Absolute prepare Connection After tear Down Pool Instance expunge Connections server null Open close true 
com.amaze.filemanager.filesystem.ssh.SFtpClientTemplate,public Client Template Null String this true close Finish calling code needs handle closing link SFTP session param connection form username password host port boolean Implement logic here client instance with opened authenticated been Requested return type Result execution requested abstract execute throws Exception 
com.amaze.filemanager.filesystem.ssh.SshClientSessionTemplate,Constructor param connection form code username password host port public Client Session Template Null String this Implement logic here link instance with opened authenticated Requested return type Result execution requested abstract execute throws Exception 
com.amaze.filemanager.filesystem.ssh.SshClientUtils,Execute given Client Template This template pattern borrowed from Spring Framework simplify code operations using Sftp param link execute Type return value execution results public static final Null client null retval Connection Pool Instance else throw Runtime Exception Unable catch Error executing method finally close Finish Disconnect with Session false Override session start Open closing SFTP sftp Convenience call Util Encrypted Path Context String contains password assuming encrypted full exists Necessary Without Protocol substring PREFIX length last Index Config General Security encrypting path Decrypted decrypted decrypting extract Base example user home this returns Full remote part From index Remote Disconnects wrap exceptions beneath callers free hassles handling thrown instance void Connected disconnect connection launch Hybrid File Parcelable base Main Activity activity derive hostname port username Pair selected Parsed format 
com.amaze.filemanager.filesystem.ssh.Statvfs,Convenience method creating code statvfs openssh link Request param sftp Client SFTP instance path remote return public static final request String Engine Packet Type EXTENDED STATVFS OPENSSH Subsystem Remote Charset 
com.amaze.filemanager.filesystem.ssh.CustomSshJConfig,public static void init Security remove Provider insert spongycastle provider Bouncy Castle Providers length bouncycastle 
com.amaze.filemanager.filesystem.ssh.SshClientTemplate,Constructor with close Client Finish true that connection must after code execute param form username password host port public Template Null String this false will kept finishes This useful other calls reuse boolean Implement logic here client link instance opened authenticated Requested return type Result execution requested abstract throws Exception 
com.amaze.filemanager.filesystem.ssh.SshConnectionPool,this obtain Connection Pool instance singleton return link public static final Instance null Obtain Client connection from underlying pool Beneath will exists otherwise create into param form code username password host port already opened authenticated throws Exception Exceptions that occur during setup Null String Utils extract Base From client connections else validate longer usable Reconnecting expire remove Different above accepts broken down parameters convenience method setting SFTP required server Fingerprint expected fingerprint using Pair based authentication Nullable derive Sftp Path Kill still place Used amaze filemanager activities Main Activity Destroy exit void expunge Connections 
com.amaze.filemanager.filesystem.ssh.test.BlockFileCreationFileSystemProvider,Read only param path options attrs return throws Exception Override public File Channel Path extends Open Option Attribute unroot System Provider provider Collections singleton Standard READ Output Stream Unsupported operation 
com.amaze.filemanager.filesystem.ssh.test.TestKeyProvider,public Test Provider throws Exception Pair Generator Instance initialize Secure Random generate Override Iterable load Keys return Collections singleton 
com.amaze.filemanager.filesystem.compressed.TestArchives,public static void init Context context String type ARCHIVE TYPES read Archive byte throws Exception return Utils Byte Array class Loader Resource Stream test archive 
com.amaze.filemanager.filesystem.compressed.CompressedHelperTest,Before public void context Runtime Environment application empty Update Listener Extractor Override Start long total Bytes String first Entry Name entry Path Finish boolean Cancelled return false check This program extension extractor Check each extensions matched correct Test Instance File file test result Compressed Helper assert Equals Class class Gzip Null Decompressor decompressor Compressor Extractable fuction throws Exception True False function name invalid compressed with 
com.amaze.filemanager.filesystem.compressed.B0rkenZipTest,Override public void Start long total Bytes String first Entry Name Update entry Path Finish boolean Cancelled return false Before throws Exception Utils copy Class Loader Resource Stream slip File Output zipfile test slashprefix Test Extract With Wrong Unix Extractor extractor Runtime Environment application Absolute External Storage Directory empty Listener Everything assert Equals Invalid Archive Entries size True good exists Windows Slash Prefix Files Helper Task Should Omit Backslash 
com.amaze.filemanager.filesystem.compressed.CompressedHelper,compatibility with other compressed file types edit this method public static Extractor Instance Context context File String output Path Update listener extractor Extension else Gzipped return null Decompressor Compressor decompressor boolean Extractable path Gets name without compression extention example Name Lower Case substring last Index Utils Last Char final Entry Valid entry starts With equals 
com.amaze.filemanager.filesystem.compressed.extractcontents.AbstractExtractorTest,Before public void throws Exception Shadow Environment External Storage State MEDIA MOUNTED Test Archives init Runtime application copy After tear Down test Entry Name Extractor extractor Class Constructor Context class String Update Instance File Absolute Path Directory null assert Equals Files Count Latch latch Override Start long total Bytes first entry Finish count verify Extracted Contents catch print Stack Trace fail Error verifying extracted archive contents boolean Cancelled return false Everything await 
com.amaze.filemanager.filesystem.compressed.extractcontents.TarExtractorTest,
com.amaze.filemanager.filesystem.compressed.extractcontents.RarExtractorTest,
com.amaze.filemanager.filesystem.compressed.extractcontents.TarGzExtractorTest,
com.amaze.filemanager.filesystem.compressed.extractcontents.ZipExtractorTest,
com.amaze.filemanager.filesystem.compressed.extractcontents.ExtractorTestSuite,
com.amaze.filemanager.filesystem.compressed.extractcontents.Extractor,public Extractor Context context String file Path output Update listener this invalid Archive Entries Array List void extract Files files throws Exception Everything Invalid return 
com.amaze.filemanager.ui.ColorCircleDrawable,public Color Circle Drawable final color this Paint ANTI ALIAS FLAG Style FILL Override void draw Canvas canvas Rect bounds Bounds center Radius Alpha alpha Filter Opacity return Pixel Format TRANSLUCENT 
com.amaze.filemanager.ui.ItemPopupMenu,public Item Popup Menu Context Main Activity Utilities Provider Fragment main Layout Element Parcelable View anchor Shared Preferences shared super context utilities this Prefs accent Color Accent Click Listener Override boolean item switch case about General Dialog Creation show Properties With Permissions generate Base File permissions Themed Root Explorer return true Mode DROPBOX GDRIVE ONEDRIVE Utils Cloud desc break default Array array Files rename Paste Helper OPERATION COPY paste Hybrid extract book Data data Instance Book String title Drawer refresh Toast make Text string bookmarksadded LENGTH LONG delete positions Elements open with Stack Boolean Constants PREFERENCE TEXTEDITOR NEWSTACK false encrypt final Intent Encrypt Service class Extra OPEN MODE ordinal SOURCE preferences Manager Default Decrypt Button Callback Interface Authenticate void Pressed intent password throws Security Exception start Encryption Path CRYPT MASTER PASSWORD DEFAULT equals Preset Password Save ENCRYPT else FINGERPRINT WARNING REMEMBER catch print Trace encryption fail Warning decrypt Parent select Results 
com.amaze.filemanager.ui.colors.ColorUtils,public static void colorize Icons Context context icon Type Gradient Drawable background Color default switch case VIDEO IMAGE Utils video item break AUDIO audio CODE code TEXT COMPRESSED archive KNOWN generic 
com.amaze.filemanager.ui.colors.ColorPreference,
com.amaze.filemanager.ui.colors.ColorPreferenceHelper,Randomizes does save colors used interface return link Color Preference object itself public static User Preferences randomize Context RANDOM COMBINATIONS next length Utils Eases retrieval primary Usage index bounds first returned default param given Primary current Colors Second First Current context Shared prefs null void user Prefs Editor editor Constants PREFERENCE SKIN ACCENT accent ICON icon Skin apply 
com.amaze.filemanager.ui.colors.UserColorPreferences,public User Color Preferences primary First Second accent icon Skin this Override void write Parcel dest flags describe Contents return create From Array size 
com.amaze.filemanager.ui.icons.MimeTypes,Mime Type file param path which mime type return form String public static boolean Directory null MIME TYPES final extension Extension Empty Lower Case Locale Default Singleton From Match input Pattern matches replace Helper method link calculate last files extracted from name lowercase contains substring Index else 
com.amaze.filemanager.ui.icons.Icons,public static Drawable load Mime Icon String path boolean Directory equals return drawable arrow left white Compressed Helper File Extractable compressed type Type switch case AUDIO audio IMAGE image TEXT text VIDEO video CERTIFICATE certificate CODE codes FONT font ENCRYPTED folder lock default grid else generic mime Types null KNOWN Integer check crypt 
com.amaze.filemanager.ui.dialogs.RenameBookmark,public static Rename Bookmark Instance String path accent Color rename Bundle bundle title Arguments return Override void Create saved State super Dialog 
com.amaze.filemanager.ui.dialogs.SmbConnectDialog,Override public void Create Bundle saved Instance State super utils Provider Basic Activity Utils Dialog 
com.amaze.filemanager.ui.dialogs.SftpConnectDialog,Override public void Create Bundle saved Instance State super utils Provider Config Utils Handler Dialog authentication when Intent browse file returned Activity Result request Code result data 
com.amaze.filemanager.ui.dialogs.ColorPickerDialog,public Color Picker Dialog Context context Attribute attrs super Layout Resource layout dialog colorpicker Positive Button Text android string Negative cancel Icon null void Preference Helper User Preferences Theme theme this Listener Accepted Config listener Override Char Sequence Summary return Bind View view shared Prefs Shared accent selected Index DATA boolean Using Default Constants PREFERENCE COLOR CONFIG SKIN primary indigo ACCENT pink ICON edit DEFAULT apply Boolean random checkbox false RANDOM INDEX remove CUSTOM Linear container find COLORS length child inflate Item true first Circular Colors colors circular Material LIGHT Divider WHITE else BLACK custom Visibility INVISIBLE 
com.amaze.filemanager.ui.dialogs.GeneralDialogCreation,public static Material Dialog show Basic Themed Activity themed String content title postive Text negative accent Color Accent Builder widget positive return build Name final Main hint prefill Button neutral Single Callback Action Warnable Input Validator Validate validator builder View dialog Layout Inflater inflate layout singleedittext null Edit textfield find input Hint Textfield warnabletextinputlayout custom false Positive Context POSITIVE Utils Empty after Changed Suppress Warnings Constant Conditions void delete Files Array List Element Parcelable Elements main positions Properties With Permissions Hybrid base permissions activity boolean Root true Without Storage Cloud Open Mode open Encrypt Intent intent Fragment Decrypt Interface encrypt Preset Password Save Null password Authenticate Requires Fingerprint decrypt throws General Security Exception Help string instructions doit Package Archive Compress current Sort Shared Preferences shared Apps History Data data Prefs Hidden cancel hiddenfiles auto Dismiss Adapter adapter Concurrent Radix Tree divider GRAY update context Paths prefs Explanation Creation explanation access 
com.amaze.filemanager.ui.dialogs.SmbSearchDialog,Override public void Create Bundle bundle super utils Provider Basic Activity Utils accent Color Themed Accent dismiss subnet Scanner null interrupt Dialog saved Instance State 
com.amaze.filemanager.ui.views.appbar.SearchView,public Search View final appbar Main Activity Listener search show view with circular reveal animation void START RADIUS Radius Math Toolbar Width Height Animator animator android Build VERSION CODES LOLLIPOP Coords Item find Edit Text Location Screen Animation Utils create Circular Reveal Layout else Object Float alpha main Smoke Interpolator Accelerate Decelerate Duration Visibility VISIBLE start Override Start request Focus Input Method Manager System Service Context INPUT METHOD SERVICE Soft SHOW IMPLICIT enabled true Cancel Repeat hide GONE false input From Window Token HIDE ONLY boolean Enabled return Shown 
com.amaze.filemanager.ui.views.appbar.AppBar,public Main Activity Shared Preferences shared Search View Listener search toolbar find action this bottom Bottom appbar Layout Elevation TOOLBAR START INSET Content Inset Start Boolean Constants PREFERENCE INTELLI HIDE true Params params Scroll Flags Expanded Toolbar return Appbar void Title String title null 
com.amaze.filemanager.ui.views.appbar.BottomBar,public Bottom appbar Main Activity main this frame find View buttonbarframe scroll buttons path Layout pathbar Scroll full Path Text fullpath Anim anim pathname Smooth Scrolling Enabled true Params Linear WRAP CONTENT Group gravity Gravity CENTER VERTICAL Root Image Button Background Color TRANSPARENT Storage Drawable Resources drawable storage white arrow keyboard right timer Count Down Timer Override void Tick long Finish File Utils crossfade Inverse gesture Detector Gesture Application Context Simple Listener boolean Motion Event return Single Confirmed Fragment fragment Frame instanceof Current open Mode Open FILE cancel start show Buttons else Compressed Explorer false Long Press Boolean PREFERENCE CHANGEPATHS results Visibility VISIBLE General Dialog Creation Change Paths Prefs Click Touch reset null String Full Showing final Interface color visibility update Null news query openmode folder file event 
