cluster,bag-of-words-cluster,component,similarity,bag-of-words-component
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.ui.comments.CommentDetailFragment,0.6153846153846154,paus post unregist sign boolean save uniqu profil publish listen user reload visibl bundl author break upper dimens final account scale valu super chang tabl current interfac statu imag unus item resum avatar stop size moder volley method icon public fail path updat instanc field email scroll blog name link soft error messag object drawabl string layout attach untitl input unapprov code network date exist client destroy info empti fals setup void manag parent succ fragment remot request constant track analyt gone text dialog darken remov view pack invalid length connect auto color activ unlik allow creat type datum option focu mark intent commit failur toggl anim suppr toast content builder like util local succeed notif click main unbind time hint detail trash durat adapt span alert privat begin note menu launcher progress revert inflat select display anonym hyper fade block result switch trashcan enabl posit button static site default restor success reader suggest transact return pixel true footer event repli perman check edit action format cancel helper hide respons send refresh servic resourc movement null complet warn word editor retriev replac delet thread contain bottom submit tracker comment start overrid 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.ui.prefs.SiteSettingsFragment,0.6153846153846154,ping addr window paus post boolean save listen user break visibl bundl choic dimens final account para subhead valu super chang receiv tabl current interfac screen imag item statu exit shown resum size flat incorrect moder valid unknown public prefer extra featur updat blacklist instanc pars blog name link child index error soft picker password messag object layout string input code network confirm destroy simpl nest empti fals page void setup wrapper close parent zero remot short request track analyt text hash dialog tool remov access view summari quantiti descript connect color activ allow finish array creat datum hold entri hidden intent locat toast fetch level tree dismi builder handler bodi util local credenti click delay hint detail width durat adapt properti upload privat except integ alert requir white clone header inflat disc select display formatt multipl result switch style enabl enter posit tint button site line ident default privaci languag sort context return pixel true footer argument event relat runnabl check edit action cancel core send resourc intu theme categori null calypso space titl android limit editor delet thread contain spars tracker comment retain start overrid 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.editor.LegacyEditorFragment,0.5,graphic window threshold post ital typefac boolean save listen inclus user break visibl bundl underlin detect final scale para valu super loader chang spinner interfac item imag sequenc parcel shown volley stop method mode strong drop icon public extra featur path compound append fail instanc field looper scroll center blog broadcast link soft error object drawabl string layout input thumbnail code network info empti count fals void wrapper manag fragment arrow request sourc track gone text dialog backspac traceabl linear touch continu remov view medium length invalid activ initi array creat datum galleri root system option float unchang focu hidden intent toggl anim clamp horizont placehold poster tree dismi content builder handler util local factori click download bitmap main delay width durat align adapt span seek upload repeat alert observ integ legaci privat exclus menu progress inflat select block bold motion fade display result pictur maximum style offset global alpha posit button caption nnabel draft press minimum context return strike true rich insert event support runnabl configur video check edit action format cancel vertic hide respons send resiz servic quot resourc movement column regist file null char token titl android temp editor equal contain bottom standard simpl start overrid 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.ui.reader.actions.ReaderActions,0.5,public boolean return chang 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.ui.comments.CommentsActivity,0.5384615384615384,post boolean save stack listen reload break bundl execut final account super chang tabl current item statu slide resum moder callback public extra updat instanc blog error transit messag layout string unapprov empti fals void manag fragment remot track spasm tool remov view length auto activ snack allow finish creat type dismiss entri option filter intent commit pref toast content util local undo succeed click detail durat trash serial begin note menu launcher display select fade result switch elev enabl reader press transact return true home support event perman repli edit action hide refresh null titl android word delet contain pend comment overrid 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.WordPressDB,0.5769230769230769,upgrad ping addr demo post boolean uniqu plan save user break visibl latitud author scale quick account final para valu price chang tabl current item imag statu sequenc screen secret instanti size synchron exec mode drop public featur prefer extra path updat queu fail clean field instanc email imperi center flag name blog link index unmoder password object login string found thumbnail version code date exist overwrit schedul empti reset fals page void close manag parent remot vector short shot text hash continu remov pack applic unattach prefix medium length descript activ databas cipher decod collect lower allow array creat type mime option hold base premium encod mark hidden shortcut filter commit perm custom free queue capabl horizont locat adman store placement content determin util local list credenti factori time width sheet share align search upload except integ timezon begin euser note wise disc spec select display plain switch result longitud style offset keyword lite static site compar default recent success product caption draft suggest sort actual launch context transact return gener true home insert event power stuck catch encrypt video format danger hide instal queri intu migrat column theme correspond file cursor categori null byte titl distinct decrypt slug limit editor delet equal affect persist height claus comment start excerpt 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.ui.stats.exceptions.StatsError,0.6666666666666666,string stat super error public messag 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.WordPress,0.5,reauthor post unregist sign boolean profil stack jelli listen rest user cloud visibl account compon para valu super loader receiv tabl current shift screen imag appli unauthor unus defer life unavail secur protect instanti size debug volley background callback cert self proxim method public featur fail updat clean instanc imperi miss name blog widget bucket index error appanag messag motif password object login string version code network registr date client empti reset fals setup void runtim manag succ remot request track record analyt text scope hash dialog mealtim remov view applic invalid connect auto activ databas initi allow specifi help creat type datum system option hidden intent pref queue lock suppr abstract throw minut paralyt fetch logout build builder determin task store content util local fabric factori monitor notif oogl bitmap memori time delay main detail pointer share heavi play except integ note flush requir agent disabl subscrib select result switch cach elaps enabl startup static default restor instead reader packag languag context substr return true home event mill relat runnabl catch configur check danger authent helper respons instal send core servic attempt paramet clock intu file bean null token complet cycl push android warn session retriev replac delet sticki batch thread devic provid cancel tracker overrid 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.ui.plans.util.IabException,0.5,signal string except caus result null super respons return error public messag 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.ui.notifications.utils.NotificationsUtils,0.5,invoc unregist post sign boolean typefac quid save stack listen inclus endpoint rest user break visibl author trace final account para valu super chang tabl subject interfac imag statu appli print volley famili moder callback method public prefer fail updat instanc field miss normal name blog link preview widget flag broadcast index error motif messag object login string found unapprov version code registr client exist info empti fals void manag parent succ request track spasm analyt text hash dialog continu uncheck remov pack applic medium length auto activ snack allow array creat datum dismiss system model releas base target rang failur suppr throw content build builder util local undo skip succeed notif click detail trash share span alert except privat integ note manufactur block display switch result illeg style server strict enabl posit static site button default handl reader nnabel packag context return special ignor true atinka footer event declar power catch induc invok action comp format helper respons authent servic resourc null token char follow titl push android warn word editor delet sticki charact devic tracker comment overrid 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.editor.EditorFragment,0.6538461538461539,unmask paus post script boolean save profil uniqu stack listen user break visibl bundl port author dimens final para valu super loader chang current interfac imag statu sequenc resum size stop background callback retri exec method mode public fail extra featur append updat notifi instanc field pars looper name blog link soft error transit messag object string layout input attach thumbnail code network info empti count fals setup void safe concurr manag parent landscap fragment keyboard intercept remot short request sourc wait text gone hash dialog traceabl touch remov view dump medium length auto obtain metum activ initi collect array creat type galleri datum remain system entri float target focu consol intent mark commit interrupt toggl custom abstract tablet placehold toast left poster orient implicit content latch builder dismi margin util local succeed click time hint detach scheme width durat span upload alert except serial integ begin menu tbsp progress watcher disabl inflat header function display select await motion result switch multu style enabl posit startup static button line default unlink nnabel bolo escap context substr return transact true argument insert event support visual runnabl catch configur focus video check edit action format cancel hide respons unit refresh servic quot resourc intu column file null char complet titl android split editor replac retriev delet equal thread contain bottom clipboard simpl overrid 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.ui.posts.EditPostSettingsFragment,0.5384615384615384,permiss post boolean save publish listen neutral break visibl bundl execut final account valu super spinner chang tabl current item statu imag interfac shown size drop unknown public prefer featur etscap extra updat instanc field pars flag blog link curd soft review password picker photo object calendar layout string input thumbnail code network date schedul info empti fals page void abbrev close manag runtim parent fragment request chat gone text overrid hash dialog touch remov medium length section asid activ array creat type galleri datum root entri load intent custom popul locat minut fetch builder content task util local click time width adapt search timestamp month privat except serial integ alert menu inflat select display switch result enabl posit keyword button default handl draft audio launch escap context return pixel true support event visual start catch video librari check edit action format cancel helper hide label quot resourc intu regist file cursor categori null token metric titl android immedi editor equal contain pend standard simpl motion excerpt 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.analytics.AnalyticsTrackerNosara,0.6153846153846154,upgrad demo post ital sign boolean save profil publish user break underlin final unord account valu super chang receiv screen item imag shift session shown size merg self retri proxim public fail updat host browser email scroll flag name blog preview link widget articl error messag photo object login string unapprov perform version code client schedul page void close remot track analyt unexpect hash remov access pack applic prefix medium discov length connect metum period unlik help osana creat type datum insight load toggl custom throw toast adman logout level like util list local week discard notif click hint detail trash share properti singl chart search month upload predefin alert except menu flush block select bold illeg switch enabl expir button site alia default anon reader unlink draft sent languag behavior context gener return strike infinit ignor stream argument support event repli catch learn video librari edit comp authent instal stat refresh quot theme regist null token follow push word editor delet bottom match tracker comment overrid 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.ui.media.MediaBrowserActivity,0.5,upgrad window permiss paus unregist boolean save stack listen break visibl bundl execut dimens final para valu super spinner receiv chang tabl current item unus slide resum size stop background callback self retri public featur fail updat host browser notifi instanc flag blog grid wrap error messag photo object drawabl string layout found compact code pick exist expand empti count fals setup void camera manag parent fragment keyboard short request wait text gone hash dialog tool remov view medium invalid length connect color activ allow finish array creat galleri datum entri option focu filter mark intent captur commit queue suppr toast dismi content task util local succeed click download main width durat share adapt search collaps upload privat begin menu launcher requir inflat display select multipl result pictur switch multu enabl sanit posit grant default cell packag press context transact return pixel true home support event video librari check edit action deni hide helper send refresh servic storag queri resourc file null complet titl android warn word delet equal thread contain submit start overrid 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.ui.posts.EditPostActivity,0.7307692307692307,window permiss bearer post unregist script boolean save ital publish listen break visibl bundl underlin execut final quick account unord valu super loader chang receiv tabl current interfac imag screen item statu bound unus protect instanti size stop debug callback retri method mode strong origin prefer extra etscap public unknown updat write featur fail path queu instanc pars field blog name preview broadcast grid soft error index picker messag photo object layout string found input thumbnail code network schedul info empti extern fals verb manifest page void setup safe camera manag runtim succ fragment remot short request sourc track wait record analyt text prepar dialog environ traceabl touch continu remov medium invalid length section auto connect descript activ initi finish array directori creat type galleri datum remain system secondari option filter hidden intent captur failur comma abstract lock suppr proce queue locat toast throw fetch poster dismi content builder paralyt task util local succeed notif click memori durat adapt span search upload decor privat serial except integ legaci executor alert sync menu requir progress inflat header display select block bold multipl switch result pictur style extend enabl server posit grant button site line default pleas caption handl specif unlink nnabel draft suggest packag press launch context substr return strike gener true home support event insert visual runnabl catch pager video librari check edit action format deni cancel hide helper timeout send refresh servic storag avail resourc quot file categori null token complet titl android mount word limit editor replac warn pool delet equal charact contain thread pend devic fill tracker readi simpl start overrid 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.ui.main.WPMainActivity,0.5384615384615384,post sign boolean save profil listen user rest break visibl bundl execut dimens detect account super chang reselect receiv screen current item unus unauthor size cert moder self valid public extra updat instanc scroll blog bucket index error picker motif seen factor object login layout string code network registr trust reset fals void manag fragment request unselect track text dialog remov view invalid connect activ finish creat type datum float intent pref anim suppr toast content modifi handler task util credenti notif click main delay detail durat adapt appear executor sync note launcher reach switch result elev offset posit site default reader languag return pixel true insert event runnabl pager check edit cancel authent helper badg core servic resourc null certif complet push warn split word limit pool delet thread bottom comment start overrid 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.ui.reader.models.ReaderBlogIdPostId,0.8,reader blog post return public 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.wordpress.android.editor.ApplicationTest,0.5,public super test applic 
12,past insert close post link forc copi featur hope disappear rewritten wait terrifi document ensur cloud revis devic chang stick edit mark remov comment leaf sync pend error caus delet wish folder clean creat believ content dashboard direct header worst book access menu twitter account idea like simplic super froze crap blog ,org.xmlrpc.android.ApiHelper,0.5,tart pull post boolean save document endpoint user break author associ execut final para valu tabl current interfac imag statu instanti callback synchron retri proxim method public featur updat instanc pars email flag blog name link error password object tall fault string input thumbnail version code network date client empti count fals page void millisecond remot request attribut text hash remov applic length discov invalid socket metum databas compil specifi allow array creat type datum caus option softwar base interrupt queue capabl abort throw fetch modifi content handshak util local list factori time trash singl search parser except euser matcher reach maximum result switch server insensit static default reader bolo return ignor true event catch check edit format respons futur unit timeout polici refresh helper resourc null unabl redirect follow titl pattern retriev delet equal persist comment readi start 
1,care cuter system icon serial messag file introduc extens mean error post receiv ,org.wordpress.android.widgets.WPAlertDialogFragment,0.6153846153846154,drawabl string confirm builder context gener return info save true util listen argument neutral empti void break bundl start final click fragment action cancel super button interfac dialog theme alert serial view null icon activ titl public creat android word instanc type pars normal switch style contain error intent posit messag static overrid 
1,care cuter system icon serial messag file introduc extens mean error post receiv ,org.wordpress.android.ui.prefs.SelfHostedSiteSettings,0.6153846153846154,pref string default version fetch languag post client boolean save return empti util local true user support credenti void runnabl succ respons final verifi para remot receiv password format super valu track detail request analyt stat text interfac hash properti current item intu tabl serial except instanti protect categori null callback prefix sync self proxim method copi activ site prefer public unknown unsupport updat host notifi instanc datum pars option equal result thread blog name error tracker object failur overrid 
